,human_baseline_summaries,original_model_summaries,instruct_model_summaries,peft_ia3_model_summaries,peft_lora_model_summaries
0,Ms. Dawson helps #Person1# to write a memo to inform every employee that they have to change the communication method and should not use Instant Messaging anymore.,Employees are required to take dictation breaks from their work schedules.,This memo is to be distributed to all employees by this afternoon.,#Person1# asks Ms. Dawson to take dictation for her. Ms. Dawson tells #Person1# that the use of Instant Message programs by employees during working hours is strictly prohibited. #Person1# also restricts external communications. #Person2# wants to change the communication methods and will face termination.,#Person1# asks Ms. Dawson to take a dictation for #Person1#. Ms. Dawson tells #Person1# the use of Instant Messaging is strictly prohibited and the employee will be placed on probation.
1,"In order to prevent employees from wasting time on Instant Message programs, #Person1# decides to terminate the use of those programs and asks Ms. Dawson to send out a memo to all employees by the afternoon.",Employees who use instant messaging will face a warning and a termination penalty of up to a year and a half.,This memo is to be distributed to all employees by this afternoon.,#Person1# asks Ms. Dawson to take dictation for her. Ms. Dawson tells #Person1# that the use of Instant Message programs by employees during working hours is strictly prohibited. #Person1# also restricts external communications. #Person2# wants to change the communication methods and will face termination.,#Person1# asks Ms. Dawson to take a dictation for #Person1#. Ms. Dawson tells #Person1# the use of Instant Messaging is strictly prohibited and the employee will be placed on probation.
2,Ms. Dawson takes a dictation for #Person1# about prohibiting the use of Instant Message programs in the office. They argue about its reasonability but #Person1# still insists.,IMPORTANT!,This memo is to be distributed to all employees by this afternoon.,#Person1# asks Ms. Dawson to take dictation for her. Ms. Dawson tells #Person1# that the use of Instant Message programs by employees during working hours is strictly prohibited. #Person1# also restricts external communications. #Person2# wants to change the communication methods and will face termination.,#Person1# asks Ms. Dawson to take a dictation for #Person1#. Ms. Dawson tells #Person1# the use of Instant Messaging is strictly prohibited and the employee will be placed on probation.
3,#Person2# arrives late because of traffic jam. #Person1# persuades #Person2# to use public transportations to keep healthy and to protect the environment.,I'm finally here!,Take public transport to work.,"#Person2# got stuck in traffic again. #Person2# thinks it's better to take public transport system to work. #Person2# thinks it would be better for the environment, and #Person2# thinks biking to work would be better for the environment. #Person2# thinks biking to work will give #Person2# the freedom that #Person2# has with a car.",#Person2# got stuck in traffic again. #Person1# suggests #Person2# start taking public transport system to work. #Person2# feels bad about the pollution problem in this city and suggests #Person2# start biking to work.
4,#Person2# decides to follow #Person1#'s suggestions on quitting driving to work and will try to use public transportations.,You're finally here!,Take public transport to work.,"#Person2# got stuck in traffic again. #Person2# thinks it's better to take public transport system to work. #Person2# thinks it would be better for the environment, and #Person2# thinks biking to work would be better for the environment. #Person2# thinks biking to work will give #Person2# the freedom that #Person2# has with a car.",#Person2# got stuck in traffic again. #Person1# suggests #Person2# start taking public transport system to work. #Person2# feels bad about the pollution problem in this city and suggests #Person2# start biking to work.
5,"#Person2# complains to #Person1# about the traffic jam, #Person1# suggests quitting driving and taking public transportation instead.",I'm so exhausted from the traffic jam that I'm now stuck in traffic.,Take public transport to work.,"#Person2# got stuck in traffic again. #Person2# thinks it's better to take public transport system to work. #Person2# thinks it would be better for the environment, and #Person2# thinks biking to work would be better for the environment. #Person2# thinks biking to work will give #Person2# the freedom that #Person2# has with a car.",#Person2# got stuck in traffic again. #Person1# suggests #Person2# start taking public transport system to work. #Person2# feels bad about the pollution problem in this city and suggests #Person2# start biking to work.
6,#Person1# tells Kate that Masha and Hero get divorced. Kate is surprised because she thought they are perfect couple.,"Masha and Hero are having a separation for 2 months, and are getting divorced.",Masha and Hero are getting divorced.,Kate and Hero are getting divorced. Kate tells #Person1# they are having a separation for 2 months and filed for divorce. Kate thinks they are well matched and thinks they are well matched.,#Person1# tells Kate Masha and Hero are getting divorced. Kate thinks it's surprising that they are well matched.
7,#Person1# tells Kate that Masha and Hero are getting a peaceful divorce. Kate feels surprised and asks about their kids.,"#Person1: Masha and Hero are getting divorced. #Person2: Well, I always thought they are well matched. But they are getting divorced. #Person3: Well, I always thought they are the perfect couple. #Person4: That's really surprising. I always thought they were the perfect couple.",Masha and Hero are getting divorced.,Kate and Hero are getting divorced. Kate tells #Person1# they are having a separation for 2 months and filed for divorce. Kate thinks they are well matched and thinks they are well matched.,#Person1# tells Kate Masha and Hero are getting divorced. Kate thinks it's surprising that they are well matched.
8,#Person1# and Kate talk about the divorce between Masha and Hero. Kate feels surprised because she thought they are well matched,Masha and Hero are getting divorced.,Masha and Hero are getting divorced.,Kate and Hero are getting divorced. Kate tells #Person1# they are having a separation for 2 months and filed for divorce. Kate thinks they are well matched and thinks they are well matched.,#Person1# tells Kate Masha and Hero are getting divorced. Kate thinks it's surprising that they are well matched.
9,#Person1# and Brian are at the birthday party of Brian. Brian thinks #Person1# looks great and is popular.,Brian's birthday party is coming to a conclusion.,Brian's birthday is coming up.,Brian invites Brian to a dance with him. Brian's party is a good party and Brian looks pretty today. Brian's necklace goes with his dress and #Person1# thinks Brian looks good.,Brian invites #Person1# to the party and Brian is very popular with everyone. #Person1# thinks Brian looks pretty today and wants to have a drink together.
